#node_id	complete_name	char_label	state_label	n.state_in_matrix	edgecount	in_edgecount	out_edgecount	number_of_taxa	taxa
10	char. 7|2	char. 7	2	2	63	20	43	8	Opabinia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
11	char. 8|1	char. 8	1	1	56	12	44	2	Hallucigenia_sparsa,Euperipatoides_Onychophora
12	char. 9|1	char. 9	1	1	106	32	74	15	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Hallucigenia_sparsa,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Anomalocaris,Peytoia,Hurdia
13	char. 10|0	char. 10	0	0	91	22	69	10	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Hallucigenia_sparsa,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Kerygmachela,Pambdelurion
14	char. 10|1	char. 10	1	1	44	3	41	3	Anomalocaris,Peytoia,Hurdia
15	char. 11|1	char. 11	1	1	107	29	78	9	Tubiluchus_Priapulida,Cricocosmia,Hallucigenia_sparsa,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Jianshanopodia,Anomalocaris,Hurdia
16	char. 12|1	char. 12	1	1	22	0	22	2	Tubiluchus_Priapulida,Cricocosmia
17	char. 12|0	char. 12	0	0	138	87	51	29	Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
18	char. 13|1	char. 13	1	1	110	29	81	9	Tubiluchus_Priapulida,Cricocosmia,Paucipodia,Hallucigenia_sparsa,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Jianshanopodia,Hurdia,Supella_longipalpa
19	char. 14|1	char. 14	1	1	74	14	60	4	Tubiluchus_Priapulida,Jianshanopodia,Hurdia,Supella_longipalpa
20	char. 14|0	char. 14	0	0	61	15	46	3	Hallucigenia_sparsa,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada
21	char. 15|0	char. 15	0	0	95	22	73	7	Tubiluchus_Priapulida,Cricocosmia,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Jianshanopodia,Hurdia,Supella_longipalpa
22	char. 15|1	char. 15	1	1	35	0	35	1	Hallucigenia_sparsa
23	char. 16|1	char. 16	1	1	133	72	61	20	Onychodictyon_ferox,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania,Antennacanthopodia,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
24	char. 17|0	char. 17	0	0	89	32	57	9	Onychodictyon_ferox,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania,Antennacanthopodia,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada
25	char. 17|1	char. 17	1	1	74	37	37	11	Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
26	char. 18|0	char. 18	0	0	85	30	55	6	Onychodictyon_ferox,Hallucigenia_sparsa,Antennacanthopodia,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada
27	char. 18|1	char. 18	1	1	74	38	36	11	Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
28	char. 19|0	char. 19	0	0	123	89	34	31	Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Carbotubulus,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Megadictyon,Jianshanopodia,Hadranax,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia
29	char. 19|1	char. 19	1	1	48	17	31	7	Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
30	char. 20|1	char. 20	1	1	133	90	43	24	Aysheaia,Siberion,Onychodictyon_ferox,Luolishania,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
31	char. 20|0	char. 20	0	0	52	19	33	6	Diania,Xenusion,Paucipodia,Microdictyon,Hallucigenia_sparsa,Hallucigenia_fortis
32	char. 21|0	char. 21	0	0	99	31	68	12	Aysheaia,Siberion,Onychodictyon_ferox,Luolishania,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia
33	char. 21|1	char. 21	1	1	94	37	57	11	Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
34	char. 22|1	char. 22	1	1	44	8	36	3	Anomalocaris,Peytoia,Hurdia
35	char. 23|0	char. 23	0	0	115	71	44	28	Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Carbotubulus,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Megadictyon,Jianshanopodia,Hadranax,Kerygmachela,Pambdelurion,Opabinia
36	char. 23|1	char. 23	1	1	40	4	36	2	Peytoia,Hurdia
37	char. 24|0	char. 24	0	0	107	53	54	14	Aysheaia,Siberion,Onychodictyon_ferox,Luolishania,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia
38	char. 24|1	char. 24	1	1	76	42	34	9	Antennacanthopodia,Euperipatoides_Onychophora,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
39	char. 25|0	char. 25	0	0	17	0	17	1	Antennacanthopodia
40	char. 25|1	char. 25	1	1	37	0	37	1	Euperipatoides_Onychophora
41	char. 25|2	char. 25	2	2	47	8	39	5	Fuxianhuia,Chengjiangocaris,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
42	char. 25|3	char. 25	3	3	33	1	32	2	Leanchoilia,Alalcomenaeus
43	char. 26|0	char. 26	0	0	96	39	57	17	Aysheaia,Siberion,Onychodictyon_ferox,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Megadictyon,Jianshanopodia,Kerygmachela
44	char. 26|1	char. 26	1	1	92	51	41	13	Actinarctus_Heterotardigrada,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
45	char. 26|2	char. 26	2	2	38	0	38	1	Halobiotus_Eutardigrada
46	char. 27|0	char. 27	0	0	94	46	48	15	Aysheaia,Onychodictyon_ferox,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada
47	char. 27|1	char. 27	1	1	91	57	34	14	Siberion,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
48	char. 28|0	char. 28	0	0	64	26	38	6	Siberion,Kerygmachela,Pambdelurion,Anomalocaris,Peytoia,Hurdia
49	char. 28|1	char. 28	1	1	63	30	33	8	Opabinia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
50	char. 29|0	char. 29	0	0	32	0	32	1	Opabinia
51	char. 29|1	char. 29	1	1	48	19	29	7	Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
52	char. 30|1	char. 30	1	1	89	48	41	10	Aysheaia,Onychodictyon_ferox,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia
53	char. 31|0	char. 31	0	0	78	34	44	8	Aysheaia,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia,Peytoia,Hurdia
54	char. 31|1	char. 31	1	1	65	24	41	2	Onychodictyon_ferox,Anomalocaris
55	char. 32|1	char. 32	1	1	39	0	39	1	Onychodictyon_ferox
56	char. 32|0	char. 32	0	0	36	0	36	1	Anomalocaris
57	char. 33|1	char. 33	1	1	80	38	42	7	Aysheaia,Megadictyon,Kerygmachela,Opabinia,Anomalocaris,Peytoia,Hurdia
58	char. 34|1	char. 34	1	1	63	34	29	8	Opabinia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
59	char. 35|1	char. 35	1	1	48	20	28	7	Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
60	char. 36|1	char. 36	1	1	42	5	37	3	Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
61	char. 37|1	char. 37	1	1	96	62	34	24	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Megadictyon,Jianshanopodia,Hadranax,Kerygmachela,Pambdelurion
62	char. 38|1	char. 38	1	1	92	49	43	20	Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Ilyodes,Euperipatoides_Onychophora,Megadictyon,Jianshanopodia,Hadranax,Kerygmachela
63	char. 39|1	char. 39	1	1	69	34	35	8	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Onychodictyon_ferox,Microdictyon,Cardiodictyon,Hallucigenia_fortis,Luolishania
64	char. 39|0	char. 39	0	0	69	30	39	5	Onychodictyon_gracilis,Diania,Paucipodia,Euperipatoides_Onychophora,Kerygmachela
65	char. 40|0	char. 40	0	0	65	38	27	7	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Paucipodia,Ilyodes,Euperipatoides_Onychophora
66	char. 40|1	char. 40	1	1	79	40	39	14	Onychodictyon_ferox,Diania,Xenusion,Microdictyon,Cardiodictyon,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Megadictyon,Jianshanopodia,Hadranax,Kerygmachela
67	char. 41|1	char. 41	1	1	98	66	32	18	Cricocosmia,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Hadranax,Kerygmachela
68	char. 42|1	char. 42	1	1	94	58	36	15	Cricocosmia,Onychodictyon_ferox,Onychodictyon_gracilis,Xenusion,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Actinarctus_Heterotardigrada,Hadranax,Kerygmachela
69	char. 42|0	char. 42	0	0	38	1	37	1	Halobiotus_Eutardigrada
70	char. 43|0	char. 43	0	0	81	45	36	9	Cricocosmia,Onychodictyon_ferox,Onychodictyon_gracilis,Xenusion,Microdictyon,Cardiodictyon,Actinarctus_Heterotardigrada,Hadranax,Kerygmachela
71	char. 43|1	char. 43	1	1	51	31	20	6	Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus
72	char. 44|1	char. 44	1	1	64	39	25	6	Onychodictyon_ferox,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay
73	char. 45|0	char. 45	0	0	39	1	38	1	Onychodictyon_ferox
74	char. 45|1	char. 45	1	1	51	30	21	5	Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay
75	char. 46|1	char. 46	1	1	80	51	29	12	Cricocosmia,Onychodictyon_ferox,Onychodictyon_gracilis,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Actinarctus_Heterotardigrada
76	char. 46|0	char. 46	0	0	47	23	24	4	Diania,Xenusion,Hadranax,Kerygmachela
77	char. 47|0	char. 47	0	0	68	42	26	6	Cricocosmia,Onychodictyon_ferox,Microdictyon,Cardiodictyon,Hallucigenia_hongmeia,Actinarctus_Heterotardigrada
78	char. 47|1	char. 47	1	1	35	1	34	1	Hallucigenia_sparsa
79	char. 48|0	char. 48	0	0	108	81	27	16	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
80	char. 48|1	char. 48	1	1	56	31	25	2	Hallucigenia_sparsa,Euperipatoides_Onychophora
81	char. 49|1	char. 49	1	1	82	56	26	13	Cricocosmia,Aysheaia,Onychodictyon_ferox,Onychodictyon_gracilis,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Orstenotubulus,Halobiotus_Eutardigrada
82	char. 49|0	char. 49	0	0	22	0	22	1	Diania
83	char. 49|2	char. 49	2	2	33	11	22	2	Luolishania,Collins_monster_Emu_Bay
84	char. 49|3	char. 49	3	3	39	17	22	2	Hadranax,Kerygmachela
85	char. 50|1	char. 50	1	1	90	61	29	13	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Xenusion,Luolishania,Ilyodes,Euperipatoides_Onychophora,Hadranax,Kerygmachela
86	char. 51|1	char. 51	1	1	51	26	25	4	Opabinia,Anomalocaris,Peytoia,Hurdia
87	char. 52|0	char. 52	0	0	76	53	23	6	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Carbotubulus,Euperipatoides_Onychophora,Kerygmachela
88	char. 52|1	char. 52	1	1	93	59	34	7	Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Pambdelurion,Anomalocaris,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
89	char. 53|1	char. 53	1	1	91	66	25	12	Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
90	char. 54|0	char. 54	0	0	115	97	18	24	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Onychodictyon_ferox,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Antennacanthopodia,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Megadictyon,Jianshanopodia,Hadranax,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia
91	char. 54|1	char. 54	1	1	51	39	12	5	Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania,Collins_monster_Emu_Bay,Carbotubulus
92	char. 55|1	char. 55	1	1	89	72	17	12	Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Misszhouia_longicaudata,Kuamaia_lata
93	char. 56|0	char. 56	0	0	67	53	14	6	Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia
94	char. 56|1	char. 56	1	1	40	7	33	4	Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus
95	char. 56|2	char. 56	2	2	33	0	33	2	Misszhouia_longicaudata,Kuamaia_lata
96	char. 57|0	char. 57	0	0	65	45	20	5	Kerygmachela,Pambdelurion,Opabinia,Peytoia,Hurdia
97	char. 57|1	char. 57	1	1	44	13	31	6	Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Misszhouia_longicaudata,Kuamaia_lata
98	char. 58|1	char. 58	1	1	39	9	30	4	Leanchoilia,Alalcomenaeus,Misszhouia_longicaudata,Kuamaia_lata
99	char. 59|1	char. 59	1	1	72	53	19	8	Aysheaia,Onychodictyon_ferox,Diania,Xenusion,Luolishania,Collins_monster_Emu_Bay,Megadictyon,Jianshanopodia
100	char. 60|0	char. 60	0	0	56	40	16	4	Aysheaia,Diania,Luolishania,Collins_monster_Emu_Bay
101	char. 60|1	char. 60	1	1	49	26	23	3	Onychodictyon_ferox,Megadictyon,Jianshanopodia
102	char. 61|1	char. 61	1	1	69	52	17	7	Aysheaia,Luolishania,Orstenotubulus,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Hadranax
103	char. 62|1	char. 62	1	1	45	11	34	2	Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada
104	char. 63|1	char. 63	1	1	117	108	9	21	Aysheaia,Onychodictyon_ferox,Onychodictyon_gracilis,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Ilyodes,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
105	char. 64|1	char. 64	1	1	38	19	19	2	Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade
106	char. 65|4	char. 65	4	4	34	0	34	1	Aysheaia
107	char. 65|1	char. 65	1	1	82	65	17	11	Onychodictyon_ferox,Onychodictyon_gracilis,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Ilyodes,Euperipatoides_Onychophora,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade
108	char. 65|0	char. 65	0	0	35	20	15	3	Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay
109	char. 65|3	char. 65	3	3	39	0	39	1	Actinarctus_Heterotardigrada
110	char. 65|2	char. 65	2	2	35	7	28	2	Leanchoilia,Kuamaia_lata
111	char. 66|0	char. 66	0	0	91	76	15	6	Aysheaia,Paucipodia,Hallucigenia_sparsa,Ilyodes,Euperipatoides_Onychophora,Supella_longipalpa
112	char. 66|1	char. 66	1	1	82	72	10	5	Onychodictyon_ferox,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Kuamaia_lata
113	char. 67|1	char. 67	1	1	65	46	19	5	Kerygmachela,Pambdelurion,Opabinia,Peytoia,Hurdia
114	char. 68|1	char. 68	1	1	41	17	24	2	Kerygmachela,Pambdelurion
115	char. 69|1	char. 69	1	1	44	15	29	3	Anomalocaris,Peytoia,Hurdia
116	char. 70|1	char. 70	1	1	41	8	33	2	Anomalocaris,Peytoia
117	char. 71|0	char. 71	0	0	39	15	24	2	Hallucigenia_sparsa,Hallucigenia_fortis
118	char. 71|1	char. 71	1	1	33	14	19	2	Luolishania,Collins_monster_Emu_Bay
119	char. 72|1	char. 72	1	1	32	0	32	2	Fuxianhuia,Chengjiangocaris
120	char. 72|0	char. 72	0	0	44	18	26	5	Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
121	char. 73|1	char. 73	1	1	57	47	10	8	Onychodictyon_gracilis,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Antennacanthopodia,Euperipatoides_Onychophora
122	char. 74|1	char. 74	1	1	46	24	22	2	Opabinia,Anomalocaris
123	char. 75|1	char. 75	1	1	110	104	6	13	Aysheaia,Onychodictyon_ferox,Onychodictyon_gracilis,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Jianshanopodia,Kerygmachela,Opabinia,Anomalocaris,Hurdia,Fuxianhuia,Chengjiangocaris
124	char. 75|0	char. 75	0	0	115	109	6	17	Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Antennacanthopodia,Euperipatoides_Onychophora,Peytoia,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
125	char. 76|1	char. 76	1	1	69	62	7	6	Aysheaia,Onychodictyon_ferox,Onychodictyon_gracilis,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade
126	char. 76|0	char. 76	0	0	81	71	10	7	Jianshanopodia,Kerygmachela,Opabinia,Anomalocaris,Hurdia,Fuxianhuia,Chengjiangocaris
127	char. 77|1	char. 77	1	1	70	59	11	6	Jianshanopodia,Opabinia,Anomalocaris,Hurdia,Fuxianhuia,Chengjiangocaris
128	char. 77|0	char. 77	0	0	38	0	38	1	Kerygmachela
129	char. 78|1	char. 78	1	1	67	52	15	4	Aysheaia,Onychodictyon_ferox,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada
130	char. 78|0	char. 78	0	0	66	56	10	6	Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania,Euperipatoides_Onychophora
131	char. 79|1	char. 79	1	1	76	66	10	5	Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Chengjiangocaris,Alalcomenaeus,Supella_longipalpa
132	char. 80|1	char. 80	1	1	93	88	5	6	Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Fuxianhuia,Alalcomenaeus,Supella_longipalpa
133	char. 81|1	char. 81	1	1	37	1	36	1	Euperipatoides_Onychophora
134	char. 81|0	char. 81	0	0	45	14	31	2	Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada
135	char. 81|2	char. 81	2	2	45	24	21	3	Fuxianhuia,Alalcomenaeus,Supella_longipalpa
